;"paste(file$Study, file$Year, sep = "","")";V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21;V22;V23;V24;V25;V26
53;Jiang,2017;SAA NULL;PROZ P22891;C4BPB P20851;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
54;Almani,2017;ENO-2 P09104;CRP P02741; cholestrol NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
55;Kamakia,2017;IL-17F Q96PD4;MIP-3A P78556;IL-13 P35225;IL-17A Q16552;IL-5 P05113;IL-9 P15248;IL-1B  P01584;IL-2 P60568;IFN-G P01579;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
56;Goyal,2017;neopterin NULL; proteincarbonyl  NULL; MDA NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
57;Lai,2016;transferrin  P02787; urease NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
58;Takenami,2016;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
59;Sun,2016;AAT P01009;C3  P01024;C4A P0C0L4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
60;Adewole,2016;LV302 NULL;IGLL5 B9A064;E9PIT3 E9PIT3;SA22 NULL;HRG P04196;ITIH4 Q14624;KV101 NULL;F5H1A8 P06396;HBB P68871;LV102 NULL;AMBP P02760;C1QC P02747;C1R P00736;LV301 P01715;ANGT P01019;LYPD3 O95274;APOE P02649;CRP P02741;VWF P04275;PEDF P36955;CO7 P10643;APOD P05090;D6RD17 D6RD17;LBP P18428;AFAM P43652;CFAI P05156
61;Shekhawat,2016;Hsp25 NULL;Hsp60 P10809;Hsp70 NULL;Hsp90 NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
62;Kong,2016;IL-12A P29459;IL-27B Q14213;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
63;Jacobs,2016;CRP P02741;Ferritin Q8TD27;serumamyloidP P02743;MCP-1 P13500;alpha-2-macroglobulin P01023;fibrinogen  P02671;tissueplasminogenactivator P00750;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
64;Jacobs,2016;NCAM P13591;SAP P07602;IL-1B P01584;sCD40L P29965;IL-13  P35225;ApoA-1 P02647;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
65;Hasibuan,2015;OPN  P10451;TN-C  P24821;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
66;Esterhuyse,2015;STAT1 P42224;STAT2 P52630;GSDMD P57764;GBP1 P32455;GBP3 Q9H0R5;GBP5 Q96PP8;IFIT2 P09913;NMI Q13287;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
67;Li,2015;SHBG P04278;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
68;Achkar,2015;CD14 P08571;SEPP1 P49908;SELL P14151;TNXB P22105;LUM P51884;PEPD P12955;QSOX1 O00391;COMP P49747;APOC1 P02654;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
69;Xu,2015;S100A9 P06702;SOD3 P08294;MMP9 P14780;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
70;Song,2015;Alpha-1-antitrypsin P01009;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
71;Lee,2015;CXCL9  Q07325;CXCL10 P02778;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
72;Zhang,2014;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
73;Enomoto,2014;SP-A NULL;SP-D P35247;CRP P02741;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
74;Shekhawat,2014;Hsp25 NULL;Hsp70  NULL;Hsp90 NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
75;Cai,2014;C1q NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
76;Liu,2013;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
