Mann,2022;CRP P02741;Fibrinogen P02671;IFNG P01579;Ferritin Q8TD27;VEGF-A P15692;ApoA1  P02647;NCAM P13591;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Essone,2022;CKB P12277;HEPC P81172;PLa2G2A P14555;CKM P06732;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Li,2022;TRF  P54274;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Chen,2022;sPD-1 Q15116;sPD-L1 Q96EA4;sCTLA-4 P16410;sBTLA Q7Z6A9;sGITR Q9Y5U5;sIDO P14902;sCD28 P10747;sCD27  P26842;s4-1BB NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Yao,2022;GBP5 Q96PP8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Garlant,2022;CALCOCO2 Q13137;SAMD9L Q8IVG5;GBP1 P32455;IFITM3 Q01628;IFIT3  O14879;SNX10 Q9Y5X0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Lou,2022;LBP P18428;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Kaushik,2022;IL-18 Q14116;IL-10 P22301;IL-13 P35225;IFNG P01579;TNFA P01375;IL-5 P05113;IL-12A P29459;IL-1B P01584; copper NULL; zinc NULL; selenium NULL; iron NULL; aluminum NULL;IL-12B P29460;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Ali,2021;CXCL10  P02778;hBD3 P81534;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Mutavhatsindi,2021;P01011 P01011;Q8NCW5 Q8NCW5;P28072 P28072;A0A2Q2TTZ9 A0A2Q2TTZ9;Q99574 Q99574;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Moreira,2021;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Shang,2021;IFNG P01579;CXCR3 P49682;CXCL9  Q07325;CXCL10 P02778;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Liu,2021;P22352 P22352;Q9P121 Q9P121;P15151 P15151;Q13291 Q13291;Q8NDA2 Q8NDA2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Suárez,2021;IP-10 P02778;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Pedersen,2021;IP-10 P02778;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Zhang,2021;LBP P18428;CD36 P16671; MHC-I NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
HaileMariam,2021;ORM1 P02763;ORM2 P19652;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Delemarre,2021;CCL1 P22362;CXCL10 P02778;VEGF P15692;ADA2 Q9NZK5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Morris,2021;fibrinogen P02671;alpha-2-macroglobulin P01023;CRP P02741;MMP-9 P14780;transthyretin P02766;complementfactorH P08603;IFNG P01579;IP-10 P02778;TNFA P01375;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Garay-Baquero,2020;CFHR5 Q9BXR6;LRG1 P02750;CRP P02741;LBP P18428;SAA1 P0DJI8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Mateos,2020;A1AGP1 NULL;CRP  P02741;HPT P00738;KLKB1 P03952;TRFE  P02787;APOA P08519;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Li,2020;HE4 Q14508;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Estévez,2020;IP-10  P02778;IL-7 P13232;BCA-1 O43927;TNFA  P01375;Fractalkine  P78423;IP-10  P02778;IL-1α  P01583;VEGF P15692;IL-12p40 NULL;NA;IL-12p40 NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Lubbers,2020;C1q  NULL;C1-INH P05155;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Sokołowska,2020;Ficolin-1 O00602;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Min,2020;CRP P02741;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Vinhaes,2019;CD40L P29965;IL-1A P01583;IL-1B P01584;IL-8 P10145;IL-17 Q16552;IL-27  Q8NEV9;TNFA P01375;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Penn-nicholson,2019;C9 P02748;CKB P12277;C1qTNF3 Q9BXJ4;CTNFF3 NULL;CKM P06732;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Mateos,2019;alpha-1-acidglycoprotein1  P02763;alpha-1-acidglycoprotein2 P19652;haptoglobin P00738;fibrinogenAlpha  P02671;fibrinogenBeta  P02675;S100A9 P06702;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Bishwal,2019;B-integrin P05556;DBP Q10586;uteroglobin P11684;profilin P35080;cathelicidinAntimicrobialPeptide P49913;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
